Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,60,53,50,58.871784,18,35,282.34796,282.34796,1.913939,3.6573789,4.6353536,20.444,16.318001,81.64959,33.986847,0.47571903,0.38170984,727.5,3,721.5,3.0381327,485
0.39999998,68,75,80,68.469795,33,12,382.04889,382.04889,1.915604,3.6541998,6.0190964,27.236,7.9439998,72.94632,2.2397504,4.0174036,1.0099728,184.5,0,183.5,0.004816501,369
0.39999998,71,76,80,71.737259,12,17,395.05118,395.05118,1.9293482,2.5915487,4.2826591,18.948,22.839001,19.640324,65.557922,2.405278,3.2310574,177.5,0,176.5,0.001108474,355
0.39999998,29,18,15,27.84547,1,140,1749.8843,1749.8842,1.932593,5.6918349,6.6467543,37.986,33.511002,54.900196,43.344357,4.8622417,4.2881794,157.5,0,156.5,-0.003909478,315
0.39999998,67,51,46,66.514786,41,9,284.10501,284.10501,1.9355142,8.2665367,10.59914,9.0380001,7.0799999,31.310749,34.948704,0.2123685,0.16631638,726,3,717,3.0765088,484
0.39999998,51,60,65,51.487385,43,18,547.34094,91.223488,1.9382926,4.6432619,6.9714012,31.129,20.466,15.952246,27.751066,0.33732587,0.22128803,367.03998,2,365.79999,1.9953446,592
0.39999998,72,79,85,72.320457,22,14,417.99969,104.49992,1.9385657,3.6109171,6.5406823,28.525,7.842,22.713507,0.065535769,0.44838461,0.11418802,282.10001,0,280.86002,0.004376013,455
0.39999998,67,53,50,65.834427,21,43,1175.3522,167.90744,1.9403725,7.2151098,8.1605091,40.104,37.847,49.900501,5.6608977,0.12968126,0.1269616,793.5,8,787.5,8.02808,529
0.39999998,26,21,15,25.677385,2001,14,707.20648,707.20648,1.9422772,2.5742979,5.497354,36.266998,15.73,26.968416,2.9164219,1.86572,0.89422327,321.16,18,319.92001,18.173618,518
0.39999998,32,22,16,31.67668,12,42,1403.248,140.3248,1.9434886,5.1453867,8.0662575,34.264999,48.273998,0.66205728,22.09906,0.4277263,0.69504535,258,0,257,0.003896923,516
0.39999998,59,75,80,59.493187,39,2001,1112.8741,185.47902,1.9456908,8.2233009,10.539605,34.956001,13.915,25.945127,4.8211422,0.38193554,0.11930725,360.84,3,359.60001,2.8784881,582
0.39999998,56,67,73,56.325691,16,9,868.86993,144.81166,1.9475484,5.6481266,8.5616913,37.731998,26.285,53.784668,50.062893,0.39540631,0.28688097,347.19998,14,345.95999,13.486361,560
0.39999998,55,69,76,55.221493,43,1,993.49744,496.74872,1.962921,7.1322279,10.585504,35.948002,11.449,49.910946,2.1237986,1.1744584,0.33265716,343.47998,0,342.23999,0.007274312,554
0.39999998,24,19,15,23.226494,12,42,686.7298,137.34596,1.9636433,2.5462873,4.1894035,33.610001,45.382999,1.0221676,35.978634,0.83656925,1.3005348,264,26,263,25.743307,528
0.39999998,56,45,38,55.777699,33,42,772.18805,128.69801,1.9647604,5.5986471,9.0482779,36.223,22.545,53.211472,23.456406,0.391655,0.24373378,369.51999,0,368.28,-0.013013752,596
0.39999998,48,33,30,46.795963,39,2001,1421.1149,157.90166,1.9672467,7.6248698,8.5378027,49.692001,21.695,69.067642,11.02262,0.35659254,0.12400866,344.10001,0,342.86002,-0.002724483,555
0.39999998,65,74,79,65.512283,44,36,857.77899,214.44475,1.9697522,4.5691028,6.8474178,47.710999,31.698999,83.681366,52.925362,0.7815215,0.52065641,282.10001,12,280.86002,11.774952,455
0.39999998,77,86,90,77.78318,17,17,194.26544,194.26544,1.9726779,4.562326,6.1930127,10.311,7.5960002,70.981224,46.107609,1.458708,1.0746142,179,0,178,0.003886747,358
0.39999998,45,51,58,45.226242,140,44,786.10162,393.05081,1.9736712,3.04002,6.4720802,32.187,31.698,1.2079242,9.940362,0.3322939,0.37055954,691.5,0,688.5,0,461
0.39999998,25,19,15,24.214338,15,1,346.23087,346.23087,1.9749875,3.0379939,4.6655173,13.723,8.9639997,45.94191,21.897806,0.77993035,0.50918788,42.780003,0,41.540001,0,69
0.39999998,36,19,15,35.205082,15,35,1580.0597,175.56219,1.9835752,8.5703831,10.186193,22.118,42.084,0.69697767,73.212761,0.31517535,0.6746006,263.5,0,262.5,0.003490567,527
0.39999998,45,33,30,43.757229,43,39,750.57806,125.09634,1.9939765,6.0181251,6.8993936,32.888,28.788,15.769829,17.311251,0.35341266,0.30913779,331.69998,0,330.45999,0.000121135,535
0.39999998,76,61,55,75.643875,16,23,965.83209,96.583206,1.9983742,7.5061016,10.330335,30.757999,22.349001,15.896775,28.80794,0.43513665,0.31617364,260.5,0,259.5,-0.00489613,521
0.39999998,75,86,90,75.813995,17,14,1094.7917,547.39581,2.0011399,5.4968672,7.0889621,47.542999,18.337,84.865982,5.1651797,3.3629792,1.204928,262,1,261,0.98136955,524
0.39999998,78,68,62,77.641151,21,35,523.24542,104.64908,2.0028129,4.9929776,7.8095922,24.995001,16.738001,73.617432,10.217713,0.31431723,0.21977501,358.35999,0,357.12,-0.005751731,578
0.39999998,46,54,60,46.36108,39,43,210.91214,210.91214,2.0064368,3.9871676,6.7975826,13.615,7.9450002,31.242252,13.177335,0.31761909,0.18596542,553.52002,0,544.64001,0.018997259,374
0.39999998,69,75,80,69.546463,23,11,398.99371,199.49686,2.0117829,2.9824293,5.1961555,31.766001,9.2740002,32.906281,0.57267594,2.2469847,0.62172294,241,14.999999,240,14.670358,482
0.39999998,60,68,73,60.547329,36,17,322.54459,322.54459,2.0128312,3.9745011,6.1866446,20.358999,12.373,48.107639,28.085861,0.47864458,0.28006741,550.5,0,544.5,0.009958258,367
0.39999998,57,45,36,56.890179,44,39,708.72943,88.591179,2.0176864,5.9474058,10.353531,30.451,17.622,20.141954,15.333683,0.55591232,0.32168689,244,0,243,-0.003410668,488
0.39999998,45,40,34,44.631275,44,44,210.30768,105.15384,2.0187659,2.4767606,5.2662249,21.989,10.396,39.263954,19.763247,0.7088778,0.33507499,208.94,0,207.7,3.67E-05,337
0.39999998,60,65,73,60.168098,9,42,258.11816,129.05907,2.0275996,2.46597,6.3286171,26.129999,10.116,49.716942,12.136053,0.85181648,0.33122557,280.23999,1,279,0.98904186,452
0.39999998,34,20,15,33.438694,2001,37,986.02142,123.25268,2.029649,6.8977442,9.084671,18.059,28.820999,7.4165258,54.147369,0.261289,0.51922423,241.5,0,240.5,0.001861661,483
0.39999998,71,84,89,71.564346,17,21,762.07928,108.86847,2.0332811,6.3936071,8.5751324,28.003,20.879,23.764391,81.931854,0.56594485,0.42196772,270,1,269,0.99346149,540
